codigo_cliente,rango_morosidad,monto_credito,monto_por_vencer,monto_vencido,intereses,producto_host,dias_mora,gestor,recibe_sueldo_fijo,provincia_cliente,region,sector_general
DNI-9502992,31 - 60 DIAS,8000.0,5946.52,0.0,143.94,PRECISO,36,RED COMERCIAL,SÍ,PICHINCHA,SIERRA,SECTOR PÚBLICO
DNI-5110681,16 - 30 DIAS,5671.0,0.0,94.16,98.97,PRECISO,22,DIGITAL,NO,PICHINCHA,SIERRA,TRANSPORTE Y LOGÍSTICA
DNI-6527606,6 - 15 DIAS,5010.0,0.0,76.97,148.94,PRECISO,10,DIGITAL,NO,GUAYAS,COSTA,COMERCIO
DNI-5095519,16 - 30 DIAS,5000.0,0.0,146.04,65.76,PRECISO,23,DIGITAL,NO,PICHINCHA,SIERRA,COMERCIO
DNI-9856629,16 - 30 DIAS,6677.0,5511.13,0.0,127.39,PRECISO,28,RED COMERCIAL,NO,PICHINCHA,SIERRA,SERVICIOS
DNI-1866342,16 - 30 DIAS,4296.0,0.0,48.77,108.55,PRECISO,20,DIGITAL,SÍ,PICHINCHA,SIERRA,COMERCIO
DNI-8439006,6 - 15 DIAS,5000.0,2930.9,0.0,69.88,PRECISO,11,DIGITAL,SÍ,PICHINCHA,SIERRA,INDUSTRIA / MANUFACTURA
DNI-9258195,16 - 30 DIAS,9615.0,7039.14,0.0,67.41,PRECISO,30,DIGITAL,SÍ,PICHINCHA,SIERRA,MINERÍA Y EXTRACCIÓN
DNI-7783442,16 - 30 DIAS,10028.0,0.0,154.32,171.41,PRECISO,26,DIGITAL,SÍ,PICHINCHA,SIERRA,SIN ACTIVIDAD ECONÓMICA
DNI-8545582,16 - 30 DIAS,11188.0,3432.1,0.0,125.0,PRECISO,17,DIGITAL,NO,PICHINCHA,SIERRA,COMERCIO
DNI-4393429,6 - 15 DIAS,2455.0,0.0,2.61,45.63,PRECISO,12,RED COMERCIAL,NO,PICHINCHA,SIERRA,EDUCACIÓN Y SALUD
DNI-1397178,6 - 15 DIAS,15027.0,0.0,360.23,160.23,PRECISO,12,RED COMERCIAL,NO,PICHINCHA,SIERRA,TRANSPORTE Y LOGÍSTICA
DNI-3722549,16 - 30 DIAS,6201.0,0.0,81.54,74.12,PRECISO,20,RED COMERCIAL,SÍ,PICHINCHA,SIERRA,COMERCIO
DNI-9935568,31 - 60 DIAS,15000.0,8368.85,0.0,184.22,PRECISO,36,DIGITAL,SÍ,PICHINCHA,SIERRA,TRANSPORTE Y LOGÍSTICA
DNI-8037714,6 - 15 DIAS,9823.0,7841.79,0.0,204.47,PRECISO,12,DIGITAL,NO,PICHINCHA,SIERRA,TRANSPORTE Y LOGÍSTICA
DNI-2009370,31 - 60 DIAS,20280.0,14789.19,0.0,393.44,PRECISO,32,DIGITAL,NO,LOS RIOS,COSTA,SIN ACTIVIDAD ECONÓMICA
DNI-8379642,6 - 15 DIAS,38277.0,0.0,463.86,1342.92,PRECISO,12,RED COMERCIAL,SÍ,PICHINCHA,SIERRA,COMERCIO
DNI-6244638,16 - 30 DIAS,3776.0,0.0,48.01,81.69,PRECISO,17,DIGITAL,NO,PICHINCHA,SIERRA,SIN ACTIVIDAD ECONÓMICA
DNI-8324621,31 - 60 DIAS,6084.0,4724.0,0.0,151.0,PRECISO,39,DIGITAL,NO,PICHINCHA,SIERRA,INDUSTRIA
DNI-6573059,6 - 15 DIAS,24132.0,9194.49,0.0,102.47,PRECISO,12,DIGITAL,SÍ,PICHINCHA,SIERRA,COMERCIO
DNI-6349765,16 - 30 DIAS,3430.0,2603.09,0.0,65.01,PRECISO,21,DIGITAL,SÍ,PICHINCHA,SIERRA,SERVICIOS
DNI-8451158,16 - 30 DIAS,13320.0,0.0,151.96,378.03,PRECISO,20,DIGITAL,NO,PICHINCHA,SIERRA,SERVICIOS
DNI-5440223,16 - 30 DIAS,9607.0,5233.73,0.0,131.42,PRECISO,24,DIGITAL,NO,PICHINCHA,SIERRA,SIN ACTIVIDAD ECONÓMICA
DNI-7860246,6 - 15 DIAS,9269.0,7306.45,0.0,79.8,PRECISO,12,DIGITAL,NO,PICHINCHA,SIERRA,SERVICIOS
